1,Eels,2,2,0,0,0,54,8,46,4
2,Knights,2,2,0,0,0,62,24,38,4
3,Raiders,2,2,0,0,0,44,12,32,4
4,Storm,2,2,0,0,0,30,14,16,4
5,Broncos,2,2,0,0,0,50,39,11,4
6,Panthers,2,2,0,0,0,52,42,10,4
7,Cowboys,2,1,0,1,0,45,44,1,2
8,Rabbitohs,2,1,0,1,0,40,40,0,2
9,Wests Tigers,2,1,0,1,0,48,56,-8,2
10,Sea Eagles,2,1,0,1,0,13,26,-13,2
11,Sharks,2,0,0,2,0,28,34,-6,0
12,Roosters,2,0,0,2,0,22,29,-7,0
13,Bulldogs,2,0,0,2,0,18,32,-14,0
14,Dragons,2,0,0,2,0,42,56,-14,0
15,Warriors,2,0,0,2,0,6,40,-34,0
16,Titans,2,0,0,2,0,12,70,-58,0
